CBF,Time,Type,Game
315979,+2 - 1T,NR,183
177606,07:00 - 2T,NR,183
165064,34:00 - 1T,NR,184
531707,25:00 - 2T,NR,184
172576,30:00 - 2T,NR,184
178927,39:00 - 1T,NR,185
363578,43:00 - 1T,NR,185
441035,19:00 - 2T,NR,185
425933,23:00 - 1T,CT,187
419436,07:00 - 1T,NR,189
448666,+3 - 2T,NR,189
162905,01:00 - 2T,NR,190
305360,32:00 - 2T,NR,190
305360,35:00 - 2T,NR,190
393447,16:00 - 1T,NR,191
531707,32:00 - 2T,NR,191
303403,35:00 - 2T,CT,192
361450,25:00 - 2T,NR,193
316748,04:00 - 1T,PN,194
291732,40:00 - 1T,NR,194
293720,44:00 - 2T,NR,194
460340,25:00 - 2T,NR,195
352481,30:00 - 1T,NR,197
311122,34:00 - 1T,NR,197
420539,42:00 - 2T,NR,197
401045,18:00 - 1T,NR,198
185126,09:00 - 2T,NR,198
691623,40:00 - 2T,NR,198
188990,+2 - 2T,NR,198
190032,14:00 - 1T,NR,201
182423,20:00 - 1T,NR,201
312907,38:00 - 1T,NR,201
301087,44:00 - 1T,NR,201
190032,06:00 - 2T,NR,201
459007,35:00 - 2T,NR,201
174071,04:00 - 1T,NR,202
318165,+2 - 1T,NR,202
400192,25:00 - 2T,CT,202
182466,07:00 - 2T,NR,203
388303,24:00 - 1T,NR,204
172576,44:00 - 1T,NR,204
398393,26:00 - 1T,CT,205
373263,01:00 - 2T,NR,205
306822,40:00 - 2T,NR,205
369639,19:00 - 1T,NR,207
174223,25:00 - 1T,PN,207
369639,26:00 - 1T,NR,207
369639,02:00 - 2T,PN,207
179773,11:00 - 2T,NR,207
321820,03:00 - 1T,NR,208
367343,22:00 - 1T,NR,208
454527,11:00 - 2T,NR,208
318165,40:00 - 1T,NR,212
315834,+2 - 1T,NR,213
409509,17:00 - 2T,NR,213
541189,41:00 - 2T,NR,213
321556,03:00 - 1T,NR,214
312907,17:00 - 1T,NR,214
401315,19:00 - 2T,NR,214
370091,05:00 - 1T,CT,215
542491,27:00 - 1T,NR,215
311122,39:00 - 2T,NR,215
336999,03:00 - 1T,NR,216
158893,03:00 - 1T,NR,217
402630,17:00 - 1T,NR,217
158893,39:00 - 1T,NR,217
308427,03:00 - 2T,NR,217
350018,10:00 - 2T,NR,217
369639,34:00 - 1T,PN,219
182466,45:00 - 1T,NR,219
186142,16:00 - 2T,NR,219
311439,30:00 - 2T,NR,219
291732,31:00 - 1T,NR,220
337261,07:00 - 1T,NR,221
158893,33:00 - 1T,NR,221
423003,43:00 - 1T,NR,221
442637,04:00 - 1T,NR,222
441035,20:00 - 2T,FT,222
565236,+2 - 2T,NR,222
178294,23:00 - 2T,PN,223
