CBF,Time,Type,Game
460198,42:00 - 1T,NR,179
460198,13:00 - 2T,NR,179
337193,45:00 - 1T,NR,181
421785,37:00 - 2T,NR,181
155566,08:00 - 1T,NR,182
303845,43:00 - 1T,NR,182
172049,02:00 - 2T,NR,183
296885,15:00 - 1T,NR,185
296885,08:00 - 2T,NR,185
175828,39:00 - 2T,NR,185
165474,+2 - 2T,NR,185
167617,31:00 - 2T,NR,186
167617,+1 - 2T,NR,186
161751,25:00 - 2T,NR,187
297954,34:00 - 2T,NR,187
143924,12:00 - 2T,NR,188
452289,+3 - 2T,NR,188
132803,40:00 - 1T,NR,190
132803,16:00 - 2T,NR,190
393898,16:00 - 1T,NR,191
439240,19:00 - 1T,NR,191
162890,27:00 - 1T,PN,191
162890,41:00 - 1T,PN,191
393898,02:00 - 2T,NR,191
291610,18:00 - 2T,NR,191
551655,20:00 - 1T,NR,192
343997,36:00 - 1T,NR,192
304485,33:00 - 2T,NR,192
331926,14:00 - 1T,NR,193
377377,30:00 - 1T,NR,193
408842,38:00 - 2T,NR,193
408842,+2 - 2T,NR,193
317569,12:00 - 1T,NR,195
318109,20:00 - 2T,NR,195
151417,05:00 - 1T,NR,196
402167,08:00 - 1T,NR,197
457846,42:00 - 1T,NR,198
321445,14:00 - 2T,PN,198
457846,39:00 - 2T,CT,198
430673,44:00 - 2T,NR,198
180630,34:00 - 1T,NR,200
147313,41:00 - 1T,PN,200
367869,18:00 - 2T,NR,200
180630,19:00 - 2T,NR,200
187183,21:00 - 2T,NR,200
187183,25:00 - 2T,NR,200
177531,30:00 - 2T,NR,200
185860,22:00 - 1T,NR,201
163965,27:00 - 1T,FT,201
396464,44:00 - 2T,NR,201
152449,30:00 - 1T,NR,202
411984,21:00 - 2T,NR,202
186502,05:00 - 2T,NR,203
171747,10:00 - 2T,NR,208
291664,26:00 - 2T,FT,208
368187,43:00 - 2T,NR,208
517121,+5 - 2T,NR,208
343817,09:00 - 2T,NR,209
155874,27:00 - 2T,NR,209
380559,+1 - 1T,NR,211
325470,43:00 - 2T,PN,211
343701,09:00 - 1T,NR,212
173357,15:00 - 1T,NR,212
172049,+3 - 1T,NR,212
381292,44:00 - 2T,PN,212
303845,42:00 - 1T,NR,213
158858,45:00 - 1T,CT,213
303845,09:00 - 2T,NR,213
172162,32:00 - 2T,NR,213
369753,45:00 - 2T,NR,213
402167,32:00 - 1T,NR,217
175299,04:00 - 1T,NR,218
163722,19:00 - 1T,NR,218
341758,07:00 - 2T,NR,218
393357,11:00 - 2T,PN,218
393357,34:00 - 2T,NR,218
370076,+1 - 2T,NR,218
167617,17:00 - 1T,NR,219
176324,35:00 - 2T,NR,219
401831,20:00 - 1T,NR,220
308668,30:00 - 1T,NR,220
157989,01:00 - 2T,NR,220
347957,09:00 - 2T,PN,220
370923,30:00 - 2T,NR,220
308668,+2 - 2T,NR,220
161644,24:00 - 1T,NR,221
321445,08:00 - 2T,PN,221
402167,21:00 - 2T,NR,221
182527,44:00 - 2T,NR,221
304373,32:00 - 1T,NR,223
164664,07:00 - 1T,NR,226
179117,31:00 - 1T,NR,226
336492,39:00 - 1T,PN,226
137811,27:00 - 2T,NR,226
384570,31:00 - 2T,NR,227
340932,37:00 - 2T,NR,227
308668,41:00 - 2T,NR,227
175308,01:00 - 2T,NR,229
298776,10:00 - 2T,NR,229
333253,45:00 - 2T,NR,229
393357,03:00 - 2T,NR,233
431932,+1 - 2T,NR,233
297584,45:00 - 1T,NR,234
325470,30:00 - 2T,PN,234
414418,16:00 - 1T,NR,236
391871,05:00 - 2T,NR,236
317569,22:00 - 2T,NR,236
296193,32:00 - 2T,NR,238
172362,33:00 - 1T,NR,239
325470,02:00 - 1T,PN,240
291432,19:00 - 1T,NR,240
325470,42:00 - 1T,PN,240
291811,27:00 - 2T,FT,240
341758,30:00 - 2T,NR,244
294558,01:00 - 1T,NR,251
341787,18:00 - 2T,CT,251
155843,31:00 - 2T,NR,251
184739,36:00 - 2T,NR,251
347957,21:00 - 1T,PN,252
347957,28:00 - 2T,PN,252
308668,31:00 - 2T,NR,252
186747,+1 - 1T,NR,253
401299,16:00 - 2T,NR,254
342077,20:00 - 2T,NR,254
337491,40:00 - 2T,NR,254
427268,08:00 - 1T,NR,256
163378,38:00 - 1T,NR,256
311813,+1 - 1T,NR,256
338081,18:00 - 2T,NR,256
296314,24:00 - 2T,NR,260
553820,37:00 - 2T,NR,260
394762,41:00 - 2T,NR,260
164664,31:00 - 1T,NR,261
303845,17:00 - 2T,NR,261
178966,19:00 - 2T,NR,261
401299,41:00 - 2T,PN,261
155566,15:00 - 1T,NR,263
187266,27:00 - 2T,NR,263
379134,09:00 - 1T,NR,264
170369,15:00 - 1T,NR,264
187266,23:00 - 1T,CT,265
183850,27:00 - 1T,PN,265
311813,09:00 - 2T,NR,265
394762,18:00 - 2T,NR,265
313855,39:00 - 2T,NR,265
