Competição,Ano,Jogo
Copa do Brasil,2020,342
Serie C,2020,343
Copa do Brasil,2020,343
Serie C,2020,344
Copa do Brasil,2020,344
Serie C,2020,345
Copa do Brasil,2020,345
Serie C,2020,346
Copa do Brasil,2020,346
Serie C,2020,347
Copa do Brasil,2020,347
Serie C,2020,348
Copa do Brasil,2020,348
Serie C,2020,349
Copa do Brasil,2020,349
Serie C,2020,350
Copa do Brasil,2020,350
Serie C,2020,351
Copa do Brasil,2020,351
Serie C,2020,352
Copa do Brasil,2020,352
Serie C,2020,353
Copa do Brasil,2020,353
Serie C,2020,354
Copa do Brasil,2020,354
Serie C,2020,355
Copa do Brasil,2020,355
Serie C,2020,356
Copa do Brasil,2020,356
Serie C,2020,357
Copa do Brasil,2020,357
Serie C,2020,358
Copa do Brasil,2020,358
Serie C,2020,359
Copa do Brasil,2020,359
Serie C,2020,360
Copa do Brasil,2020,360
Serie C,2020,361
Copa do Brasil,2020,361
Serie C,2020,362
Copa do Brasil,2020,362
Serie C,2020,363
Copa do Brasil,2020,363
Serie C,2020,364
Copa do Brasil,2020,364
Serie C,2020,365
Copa do Brasil,2020,365
Serie C,2020,366
Copa do Brasil,2020,366
Serie C,2020,367
Copa do Brasil,2020,367
Serie C,2020,368
Copa do Brasil,2020,368
Serie C,2020,369
Copa do Brasil,2020,369
Serie C,2020,370
Copa do Brasil,2020,370
Serie C,2020,371
Copa do Brasil,2020,371
Serie C,2020,372
Copa do Brasil,2020,372
Serie C,2020,373
Copa do Brasil,2020,373
Serie C,2020,374
Copa do Brasil,2020,374
Serie C,2020,375
Copa do Brasil,2020,375
Serie C,2020,376
Copa do Brasil,2020,376
Serie C,2020,377
Copa do Brasil,2020,377
Serie C,2020,378
Copa do Brasil,2020,378
Serie C,2020,379
Copa do Brasil,2020,379
Serie C,2020,380
Copa do Brasil,2020,380
Serie A,2020,381
Serie B,2020,381
Serie C,2020,381
Copa do Brasil,2020,381
Serie A,2020,382
Serie B,2020,382
Serie C,2020,382
Copa do Brasil,2020,382
Serie A,2020,383
Serie B,2020,383
Serie C,2020,383
Copa do Brasil,2020,383
Serie A,2020,384
Serie B,2020,384
Serie C,2020,384
Copa do Brasil,2020,384
Serie A,2020,385
Serie B,2020,385
Serie C,2020,385
Copa do Brasil,2020,385
Serie A,2020,386
Serie B,2020,386
Serie C,2020,386
Copa do Brasil,2020,386
Serie A,2020,387
Serie B,2020,387
Serie C,2020,387
Copa do Brasil,2020,387
Serie A,2020,388
Serie B,2020,388
Serie C,2020,388
Copa do Brasil,2020,388
Serie A,2020,389
Serie B,2020,389
Serie C,2020,389
Copa do Brasil,2020,389
Serie A,2020,390
Serie B,2020,390
Serie C,2020,390
Copa do Brasil,2020,390
Serie A,2020,391
Serie B,2020,391
Serie C,2020,391
Copa do Brasil,2020,391
Serie A,2020,392
Serie B,2020,392
Serie C,2020,392
Copa do Brasil,2020,392
Serie A,2020,393
Serie B,2020,393
Serie C,2020,393
Copa do Brasil,2020,393
Serie A,2020,394
Serie B,2020,394
Serie C,2020,394
Copa do Brasil,2020,394
Serie A,2020,395
Serie B,2020,395
Serie C,2020,395
Copa do Brasil,2020,395
Serie A,2020,396
Serie B,2020,396
Serie C,2020,396
Copa do Brasil,2020,396
Serie A,2020,397
Serie B,2020,397
Serie C,2020,397
Copa do Brasil,2020,397
Serie A,2020,398
Serie B,2020,398
Serie C,2020,398
Copa do Brasil,2020,398
Serie A,2020,399
Serie B,2020,399
Serie C,2020,399
Copa do Brasil,2020,399
Serie A,2020,400
Serie B,2020,400
Serie C,2020,400
Copa do Brasil,2020,400
Serie A,2020,401
Serie B,2020,401
Serie C,2020,401
Copa do Brasil,2020,401
Serie A,2020,402
Serie B,2020,402
Serie C,2020,402
Copa do Brasil,2020,402
Serie A,2020,403
Serie B,2020,403
Serie C,2020,403
Copa do Brasil,2020,403
Serie A,2020,404
Serie B,2020,404
Serie C,2020,404
Copa do Brasil,2020,404
Serie A,2020,405
Serie B,2020,405
Serie C,2020,405
Copa do Brasil,2020,405
Serie A,2020,406
Serie B,2020,406
Serie C,2020,406
Copa do Brasil,2020,406
Serie A,2020,407
Serie B,2020,407
Serie C,2020,407
Copa do Brasil,2020,407
Serie A,2020,408
Serie B,2020,408
Serie C,2020,408
