Competição,Ano,Jogo
Serie D,2013,307
Copa do Brasil,2013,307
Serie C,2013,308
Serie D,2013,308
Copa do Brasil,2013,308
Serie C,2013,309
Serie D,2013,309
Copa do Brasil,2013,309
Serie C,2013,310
Serie D,2013,310
Copa do Brasil,2013,310
Serie A,2013,311
Serie C,2013,311
Serie D,2013,311
Copa do Brasil,2013,311
Serie C,2013,312
Serie D,2013,312
Copa do Brasil,2013,312
Serie C,2013,313
Serie D,2013,313
Copa do Brasil,2013,313
Serie C,2013,314
Serie D,2013,314
Copa do Brasil,2013,314
Serie C,2013,315
Serie D,2013,315
Copa do Brasil,2013,315
Serie C,2013,316
Serie D,2013,316
Copa do Brasil,2013,316
Serie C,2013,317
Serie D,2013,317
Copa do Brasil,2013,317
Serie C,2013,318
Serie D,2013,318
Copa do Brasil,2013,318
Serie C,2013,319
Serie D,2013,319
Copa do Brasil,2013,319
Serie C,2013,320
Serie D,2013,320
Copa do Brasil,2013,320
Serie C,2013,321
Serie D,2013,321
Copa do Brasil,2013,321
Serie C,2013,322
Serie D,2013,322
Copa do Brasil,2013,322
Serie C,2013,323
Serie D,2013,323
Copa do Brasil,2013,323
Serie C,2013,324
Serie D,2013,324
Copa do Brasil,2013,324
Serie C,2013,325
Serie D,2013,325
Copa do Brasil,2013,325
Serie C,2013,326
Serie D,2013,326
Copa do Brasil,2013,326
Serie C,2013,327
Serie D,2013,327
Copa do Brasil,2013,327
Serie C,2013,328
Serie D,2013,328
Copa do Brasil,2013,328
Serie C,2013,329
Serie D,2013,329
Copa do Brasil,2013,329
Serie C,2013,330
Serie D,2013,330
Copa do Brasil,2013,330
Serie C,2013,331
Serie D,2013,331
Copa do Brasil,2013,331
Serie C,2013,332
Serie D,2013,332
Copa do Brasil,2013,332
Serie C,2013,333
Serie D,2013,333
Copa do Brasil,2013,333
Serie C,2013,334
Serie D,2013,334
Copa do Brasil,2013,334
Serie C,2013,335
Serie D,2013,335
Copa do Brasil,2013,335
Serie C,2013,336
Serie D,2013,336
Copa do Brasil,2013,336
Serie C,2013,337
Serie D,2013,337
Copa do Brasil,2013,337
Serie C,2013,338
Serie D,2013,338
Copa do Brasil,2013,338
Serie C,2013,339
Serie D,2013,339
Copa do Brasil,2013,339
Serie C,2013,340
Serie D,2013,340
Copa do Brasil,2013,340
Serie C,2013,341
Serie D,2013,341
Copa do Brasil,2013,341
Serie C,2013,342
Serie D,2013,342
Copa do Brasil,2013,342
Serie C,2013,343
Serie D,2013,343
Copa do Brasil,2013,343
Serie C,2013,344
Serie D,2013,344
Copa do Brasil,2013,344
Serie C,2013,345
Serie D,2013,345
Copa do Brasil,2013,345
Serie C,2013,346
Serie D,2013,346
Copa do Brasil,2013,346
Serie C,2013,347
Serie D,2013,347
Copa do Brasil,2013,347
Serie C,2013,348
Serie D,2013,348
