CBF,Apelido,Nome
182625,Tiago Dutra,Tiago da Silva Dutra
162897,Helder,Helder de Paula Santos
183840,Marlon,Marlon Farias Castel ...
363566,Jussandro,Jussandro Pimenta Matos
176375,Lins,Lins Lima de Brito
153030,Leandro,Leandro Fahel Matos
181803,Elton,Elton Junior Melo Ataide
419292,Ryder,Ryder Matos Santos Pinto
139659,Marcel,Marcel Augusto Ortolan
188453,Fernando Jose,Fernando Viana ...
164019,Joao Vitor,Joao Vitor Lima Gomes
190389,Marquinhos,Marcos Gabriel do Na...
161253,Fabinho,Fabio Souza dos Santos
335249,Italo,Italo Melo Oliveira
303187,Helton,Helton Brant Aleixo ...
292443,Omar,Omar Constante Reis ...
171788,Thiago,Thiago Heleno Henriq ...
309265,Lucas,Lucas Silva Fonseca
167201,Gilson,Gilson Gomes do Nasc ...
152785,Darcy Dolc ...,Darcy Dolce Neto
138843,Elson Falc ...,Elson Falcao da Silva
157287,Toro Rafael,Toro Ferreira...
137972,Daniel,Daniel da Silva Carvalho
172714,Diones,Diones Coelho da Costa
176417,Tarta,Vinicius Silva Soares
433797,Adu Fredua Koranteng,Adu
150855,Giancarlo,Giancarlo da Silva Moro
155743,Obina,Manuel de Brito Filho
129292,Fabio,Fabio Deivson Lopes ...
115259,Harlei,Harlei de Menezes Silva
138932,Ceara,Marcos Venancio de ...
156325,Vitor Cicero,Vitor dos San...
157280,Egidio,Egidio de Araujo Per ...
179103,Valmir,Valmir Lucas de Oliveira
159747,Humberlito,Humberlito Borges Te ...
178875,Ernando,Ernando Rodrigues Lopes
161625,Diego Souza,Diego de Souza Andrade
169939,Amaral,William Jose de Souza
150591,Dagoberto,Dagoberto Pelentier
291317,William,William Matheus da Silva
177444,Everton Ri ...,Everton Augusto de B ...
178684,Renan,Renan Henrique Olive...
163518,Nilton,Nilton Ferreira Junior
353262,Thiago Men ...,Thiago Henrique Mend...
177749,Dede,Anderson Vital da Silva
138056,Hugo,Hugo Henrique Assis ...
166647,Bruno,Bruno Rodrigo Fenelo ...
131482,Araujo Clemerson de,Araujo ...
137403,Leandro,Leandro Luchese Guer ...
179832,Walter,Walter Henrique da Silva
174360,Leonardo,Leonardo Renan Simoe ...
160251,Neto,Baiano Euvaldo Jose de Agui...
180213,Rafael,Rafael Pires Monteiro
155703,Renan,Renan Brito Soares
320111,Lucas,Lucas Silva Borges
137340,Rodrigo,Rodrigo Baldasso da ...
292592,Lucca,Lucca Borges de Brito
139094,Dudu,Ceare ... Alexandro Silva de Sousa
298642,Elber Jose,Elber Pimentel ...
152825,Ramon,Ramon Rodrigo de Freitas
191616,Ricardo,Ricardo Goulart Pereira
295792,Eduardo,Eduardo Colcenti Antunes
312950,Mayke Roch ...,Mayke Rocha de Oliveira
293172,Vicosa,Luiz Severo Junior
177770,Vanderlei,Vanderlei Farias da ...
156659,Victor,Victor Leandro Bagy
170272,Victor,Victor Ferraz Macedo
137705,Leo,Silva Leonardo Fabiano da ...
189556,Denis,Denis Neves Resende ...
167509,Rever,Rever Humberto Alves...
171547,Gil,Jose Gildeixon Cleme ...
156034,Lucas Pierre,Lucas Pierre Santos ...
137322,Deivid,Deivid de Souza
141341,Junior Cesar,Junior Cesar Eduardo...
122995,Alex,Alexsandro de Souza
150201,Diego Tard ...,Diego Tardelli Martins
172189,Robinho,Robson Michael Signorini
317567,Bernard,Bernard Anicio Calde...
292357,Junior Urso Ocimar de Almeida,Junior
143465,Alecsandro,Alecsandro Barbosa F...
169890,Chico,Luis Francisco Grando
165439,Carlos,Carlos Cesar Neves
174348,Leandro Al ...,Leandro Almeida da Silva
298595,Luan,Luan Madson Gedeao d...
327121,Geraldo,Hermenegildo da Cost ...
131212,Josue,Josue Anunciado de O...
139889,Pereira Fabio,Pereira da Cruz
176390,Marcos,Marcos Luis Rocha Aquino
180083,Willian,Willian Roberto de F ...
150943,Rafael Mar ...,Rafael Marques Pinto
190231,Vanailson,Vanailson Luciano de ...
171975,Bacabal,Guilherme Milhomen G...
371066,Bottinelli Dario,Bottinelli
302454,Claudionor,Claudionor Souza de ...
330886,Jose,Jose Rafael Vivian
175242,Sergio Ant ...,Sergio Antonio Borge...
292833,Arthur,Arthur Caike do Nasc ...
175445,Giovanni,Giovanni Aparecido A...
130166,Lincoln,Lincoln Cassio de So ...
292253,Rafael,Rafael Cabral Barbosa
141698,Felipe,Luiz Felipe Ventura ...
136752,Edu Dracena,Eduardo Luis Abonizi ...
137644,Leo Moura,Leonardo da Silva Moura
125101,Leo,Leonardo Lourenco Bastos
402537,Marcos,Marcos Andres Gonzal...
291542,Galhardo,Rafael Galhardo de Souza
172361,Ramon,Ramon de Moraes Motta
161941,Marcos,Marcos Arouca da Silva
302196,Lima,Rafael Lima Pereira
141516,Durval,Severino dos Ramos D ...
159607,Elias,Elias Mendes Trindade
185339,Rene,Rene dos Santos Junior
186467,Hernane,Hernane Vidal de Souza
155840,Cicero,Cicero Santos
335611,Gabriel,Gabriel Santana Pinto
189708,Henrique D ...,Jose Henrique da Sil ...
133769,Renato Abreu,Carlos Renato de Abreu
360517,Montillo,Walter Damian Montillo
164070,Renato San ...,Renato dos Santos
292791,Neymar Jr.,Neymar da Silva Sant ...
291540,Luiz Antonio,Luiz Antonio de Souz...
180622,Vladimir,Vladimir Orlando Car ...
166649,Wallace Reis,Wallace Reis Silva
311027,Emerson,Emerson Palmieri dos ...
155855,Joao Paulo,Joao Paulo Gomes da ...
186450,Gustavo,Gustavo Henrique Vernes
172142,Marcelo Mo ...,Marcelo Moreno Martins
124316,Marcos Ass ...,Marcos dos Santos As ...
166274,Carlos Edu ...,Carlos Eduardo Marques
420299,Rodriguez,Patricio Julian Rodr ...
189046,Amaral,Mauricio Azevedo Alves
311020,Felipe And ...,Felipe Anderson Pere ...
185974,Paulinho,Paulo Luiz Beraldo S...
337830,Gabriel B.,Gabriel Barbosa Almeida
175411,Paulo Victor,Paulo Victor Mileo V...
161940,Antonio,Antonio Carlos dos S ...
311027,Emerson,Emerson Palmieri dos...
291542,Rafael,Rafael Galhardo de Souza
161194,Fellype Ga ...,Fellype Gabriel de M ...
141516,Durval,Severino dos Ramos D...
420161,Marcelo,Marcelo Nicolas Lode ...
305535,Willian Jose,Willian Jose da Silva
155605,Julio Cesar,Julio Cesar Coelho d ...
420299,Rodriguez,Patricio Julian Rodr...
142720,Aranha,Mario Lucio Duarte Costa
298748,Milton,Milton Raphael Guima ...
316760,Walace,Walace de Sousa Novais
187540,Lima,Lucas Pedro Alves de ...
316754,Neilton,Neilton Meira Mestzk
150642,Andre Bahia,Andre Luiz Bahia San ...
189708,Henrique,Jose Henrique da Sil...
291609,Lucas,Lucas Lacerda Lima G ...
311020,Felipe,Felipe Anderson Pere...
307245,Victor,Victor Vinicius Coel ...
337830,Gabriel,Gabriel Barbosa Almeida
124316,Marcos Ass ...,Marcos dos Santos As...
141698,Felipe,Luiz Felipe Ventura  ...
185679,Cicinho,Neuciano de Jesus Gusma
402537,Marcos,Marcos Andres Gonzal ...
297414,Cleber,Cleber Janderson Per...
170571,Ferron,Luiz Antonio Linhare...
180842,Andres,Andres Fernandes Gon...
318254,Rildo,Rildo de Andrade Fel...
141880,William,William Junior Salle...
291540,Luiz Antonio,Luiz Antonio de Souz ...
308434,Fernando,Jose Fernando Olivei...
135494,Volpato,Roberto Volpato Netto
155855,Joao Paulo,Joao Paulo Gomes da  ...
162757,Diego,Diego Alessandro Apa...
184507,Artur,Jose Artur Barbosa d...
185974,Paulinho,Paulo Luiz Beraldo S ...
172933,Roger,Roger Roberto dos Santos
175411,Paulo Victor,Paulo Victor Mileo V ...
293501,Diego,Diego Francolino da  ...
175747,Alemao,Jose Carlos Tofolo J...
107639,Rogerio,Rogerio Ceni
146379,Michel Alves,Michel Aluizio da Cr...
128373,Lucio,Lucimar da Silva Fer ...
176350,Nei,Claudinei Cardoso Fe...
316645,Rodrigo,Rodrigo Caio Coquett ...
430895,Yotun,Victor Yoshimar Yotu...
402413,Carlos,Carlos Vicente Tenor...
140053,Wendel Ger ...,Wendel Geraldo Mauri...
357424,Fellipe,Fellipe Ramos Ignez ...
326613,Ronei,Ronei Gleison Rodrig ...
