CBF,Time,Type,Game
176522,15:00 - 2T,PN,359
189538,17:00 - 2T,NR,359
322380,26:00 - 2T,NR,359
164974,20:00 - 2T,NR,360
143841,05:00 - 1T,NR,361
175729,41:00 - 2T,NR,361
150201,21:00 - 1T,NR,362
167958,36:00 - 1T,NR,362
308149,08:00 - 2T,NR,362
143465,37:00 - 2T,NR,362
164237,43:00 - 1T,NR,364
166649,45:00 - 1T,NR,364
188231,02:00 - 2T,NR,364
186467,14:00 - 2T,NR,364
164237,16:00 - 2T,NR,364
180838,34:00 - 2T,NR,364
402375,16:00 - 1T,NR,365
189708,15:00 - 1T,NR,366
168092,20:00 - 2T,NR,366
152788,01:00 - 1T,PN,367
190389,15:00 - 1T,NR,368
320857,40:00 - 2T,NR,368
344704,45:00 - 2T,NR,368
137322,38:00 - 1T,NR,369
122995,23:00 - 2T,NR,369
374375,39:00 - 2T,NR,369
293440,28:00 - 1T,NR,370
155840,33:00 - 1T,NR,370
155840,32:00 - 2T,NR,370
